smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
,<bos>,C,<1>,c1cn[nH]c1,<0>,<9>,(,C,),<4>,(,C,),N,O=[SH2]=O,<0>,c1ccccc1,<3>,C#N,<eos>,,,,,,,,,,,,,,,,,,
CN(Cc1cccc(-c2ccccc2)c1)c1ccc2nnnn2n1,<bos>,C,N,(,<1>,c1cnn2nnnc2c1,),C,<0>,c1ccccc1,<4>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(C(=O)C(C#N)c2nc3ccccc3[nH]2)cc(OC)c1OC,<bos>,C#N,C,(,<5>,c1ccc2[nH]cnc2c1,),C=O,<0>,c1ccccc1,<2>,<4>,(,O,C,),<3>,(,O,C,),O,C,<eos>,,,,,,,,,,,,,,
CCCc1cc(S(N)(=O)=O)c(OC)cc1OC,<bos>,N,O=[SH2]=O,<0>,c1ccccc1,<2>,<5>,(,O,C,),<3>,(,O,C,),C,C,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1cc(N2CCN(Cc3cccnc3)CC2)n2ncnc2n1,<bos>,c1ccncc1,<1>,C,<5>,C1CNCCN1,<2>,<8>,c1cnc2ncnn2c1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)CCC(N)=O)cc1OC1CCCC1,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,O,<0>,C1CCCC1,),C=O,C,C,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)N(C)CC(N)=O)ccc1OCC(F)F,<bos>,F,C,(,F,),C,O,<3>,c1ccccc1,<0>,<4>,(,C,),N,C=O,N,(,C,),C,C=O,N,<eos>,,,,,,,,,,,,,
COCc1cccc(NC(=O)c2cnc3c(c2)ncn3C)c1,<bos>,C,O,C,<0>,c1ccccc1,<4>,N,C=O,<0>,c1cnc2[nH]cnc2c1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C2CCCN2C(=O)COC(=O)c2ccco2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,C1CCNC1,<3>,C=O,C,O,C=O,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
C=CCn1c(SCC(=O)N2CCCCC2C)nnc1C1CC1,<bos>,C=C,<0>,C,<4>,c1nnc[nH]1,<0>,<3>,(,<0>,C1CC1,),S,C,C=O,<3>,C1CCNCC1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)c1ccc(N)cc1C(=O)NC(C)(C)C,<bos>,C,C,(,C,),(,C,),N,C=O,<4>,c1ccccc1,<3>,<0>,(,N,),O=[SH2]=O,C,C,<eos>,,,,,,,,,,,,,,,,
NS(=O)(=O)CCC(=O)NC1CCCCCC1,<bos>,N,O=[SH2]=O,C,C,C=O,N,<0>,C1CCCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nnc2n1CC(NS(=O)(=O)c1ccc3ccccc3c1)CC2,<bos>,C,<0>,c1nnc2n1CCCC2,<6>,N,O=[SH2]=O,<0>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCC1CCCO1)c1cn(Cc2ccc(OC(F)F)cc2)nn1,<bos>,F,C,(,F,),O,<3>,c1ccccc1,<0>,C,<2>,c1c[nH]nn1,<0>,C=O,N,C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,,
Brc1cccc2c1C(c1ccco1)NCC2,<bos>,Br,<2>,c1ccc2c(c1)CCNC2,<9>,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)Cn2cnc3sc4c(c3c2=O)CCC4)n1,<bos>,C,<2>,c1ccncc1,<4>,N,C=O,C,<2>,O=c1[nH]cnc2sc3c(c12)CCC3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)Nc1ccc(C2CCCCN2C(=O)c2snnc2C)cc1,<bos>,C,N,C=O,N,<3>,c1ccccc1,<0>,<2>,C1CCNCC1,<3>,C=O,<1>,c1csnn1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(C2NCCc3c(O)cc(Cl)cc32)n1,<bos>,Cl,<1>,c1ccc2c(c1)CCNC2,<9>,<5>,(,O,),<2>,c1ccncc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)C1CCN(C(=O)c2cccc(C(=O)N(C)C)c2)c2ccccc21,<bos>,C,N,(,C,),C=O,<4>,c1ccccc1,<0>,C=O,<9>,c1ccc2c(c1)CCCN2,<6>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(CS(=O)(=O)c2cc(N)ccc2Cl)c(C)c1,<bos>,N,<0>,c1ccccc1,<4>,<3>,(,Cl,),O=[SH2]=O,C,<3>,c1ccccc1,<4>,<0>,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,
CC(C)c1noc(SCC(=O)N2CCc3ccccc3C2)n1,<bos>,C,C,(,C,),<0>,c1ncon1,<2>,S,C,C=O,<8>,c1ccc2c(c1)CCNC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1nc(CC(=O)NCC2C3CC4CC(C3)CC2C4)cs1,<bos>,C,C=O,N,<3>,c1cscn1,<0>,C,C=O,N,C,<8>,C1C2CC3CC1CC(C2)C3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccn2c(=NC(=O)c3ccc(=O)n(C)c3)[nH]nc2c1,<bos>,C,<6>,O=c1cccc[nH]1,<4>,C=O,<0>,N=c1[nH]nc2ccccn12,<6>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(=O)n2ncnc2n1CCc1ccc(OC(C)C)cc1,<bos>,C,C,(,C,),O,<3>,c1ccccc1,<0>,C,C,<4>,O=c1cc[nH]c2ncnn12,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1cccc(C(=O)NCc2ccc(-n3ccnc3)cc2)c1F,<bos>,C,O,<0>,c1ccccc1,<4>,<5>,(,F,),C=O,N,C,<0>,c1ccccc1,<3>,<2>,c1c[nH]cn1,<eos>,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(F)c(NC(=O)NC2CCCCC2O)c1,<bos>,C,C=O,N,<0>,c1ccccc1,<4>,<3>,(,F,),N,C=O,N,<0>,C1CCCCC1,<5>,O,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccc(CC(=O)Nc2ccc(S(C)(=O)=O)cc2)cc1OC,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,O,C,),C,C=O,N,<0>,c1ccccc1,<3>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,,,,,
COc1cccc(C(O)CN2CCN(CCc3ccccc3)CC2)c1,<bos>,C,O,<0>,c1ccccc1,<4>,C,(,O,),C,<2>,C1CNCCN1,<5>,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)CC2COCC3CN(CCC(N)=O)CC23)no1,<bos>,C,<4>,c1cnoc1,<1>,N,C=O,C,<1>,C1CC2CNCC2CO1,<4>,C,C,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1OCc1cc(-c2ccccn2)n(C)n1,<bos>,C,<3>,c1cn[nH]c1,<1>,<4>,(,<2>,c1ccncc1,),C,O,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CC1CCOC1C(=O)NCc1ccc2c(c1)CCCN2C(=O)CO,<bos>,C,<0>,C1CCOC1,<4>,C=O,N,C,<0>,c1ccc2c(c1)CCCN2,<9>,C=O,C,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)c2ccc(-n3cncn3)cc2)cn1,<bos>,C,O,<4>,c1ccncc1,<1>,N,C=O,<0>,c1ccccc1,<3>,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCc1ccccc1Nc1nnc(S(=O)(=O)Cc2ccccc2)s1,<bos>,C,C,<0>,c1ccccc1,<5>,N,<0>,c1nncs1,<3>,O=[SH2]=O,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C=CC(O)c2c(OC)cccc2OC)cc1OC,<bos>,C,O,<0>,c1ccccc1,<5>,<4>,(,O,C,),C,(,O,),<0>,C=C,<1>,<0>,c1ccccc1,<3>,<4>,(,O,C,),O,C,<eos>,,,,,,,,,
CN(CCCn1cccn1)CC1CCC(=O)N1,<bos>,O=C1CCCN1,<4>,C,N,(,C,),C,C,C,<3>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C2COCCN2CC2CCCCO2)o1,<bos>,C,<4>,c1ccoc1,<2>,<0>,C1COCCN1,<5>,C,<2>,C1CCOCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Cn1ccc2ccccc2c1=O)N1CCCC1c1nc2ccccc2[nH]1,<bos>,O=c1[nH]ccc2ccccc12,<2>,C,C=O,<3>,C1CCNC1,<4>,<5>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
N#CC1(C(=O)Nc2ccc(F)cc2)CCOCC1,<bos>,F,<3>,c1ccccc1,<0>,N,C=O,<0>,C1CCOCC1,<0>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CS(=O)(=O)NC1CCN(C(=O)c2ccc3ccccc3c2)CC1,<bos>,C,O=[SH2]=O,N,<0>,C1CCNCC1,<3>,C=O,<0>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCCN1CC(C(=O)N2CCOC(C)C2)CC1=O,<bos>,C,<1>,C1COCCN1,<5>,C=O,<3>,O=C1CCCN1,<5>,C,C,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,<4>,O=c1[nH]ncn2c1cc1occc12,<2>,<2>,(,C,),<7>,(,Cl,),C,C,O,<eos>,,,,,,,,,,,,,,,,,,,,
CNc1ccc(Cn2cc(CO)nn2)cc1F,<bos>,C,N,<3>,c1ccccc1,<0>,<4>,(,F,),C,<2>,c1c[nH]nn1,<0>,C,O,<eos>,,,,,,,,,,,,,,,,,,,,,
COCCNS(=O)(=O)c1cc(C(N)=O)n(C)c1,<bos>,N,C=O,<2>,c1cc[nH]c1,<0>,<3>,(,C,),O=[SH2]=O,N,C,C,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C)c(C)c1CNS(=O)(=O)c1ccc2ccccc2c1,<bos>,C,<1>,c1cn[nH]c1,<0>,<3>,(,C,),<4>,(,C,),C,N,O=[SH2]=O,<0>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,
N#Cc1cccc(CC(=O)Nc2nc3c(c(=O)[nH]2)CCCC3)c1,<bos>,C#N,<0>,c1ccccc1,<4>,C,C=O,N,<3>,O=c1[nH]cnc2c1CCCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1-c1cc(C(=O)Nc2ccc(C(N)=O)cc2)on1,<bos>,C,O,<0>,c1ccccc1,<5>,<1>,c1cnoc1,<4>,C=O,N,<0>,c1ccccc1,<3>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,
CN(Cc1ccccc1F)C(=O)C1CNCCN1Cc1cccs1,<bos>,c1ccsc1,<4>,C,<5>,C1CNCCN1,<0>,C=O,N,(,C,),C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,
