smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
CC(=O)c1sc(CCn2sc3ccccc3c2=O)nc1C,<bos>,C,C=O,<1>,c1cscn1,<3>,<0>,(,C,),C,C,<2>,O=c1[nH]sc2ccccc12,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1cccc(F)c1)c1cn(-c2ccc(Cl)cc2)nn1,<bos>,F,<4>,c1ccccc1,<0>,C,N,C=O,<0>,c1c[nH]nn1,<2>,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(C)N(c1nc2nonc2nc1N(C)C)C1CCC1,<bos>,C,C,(,C,),N,(,<0>,C1CCC1,),<0>,c1cnc2nonc2n1,<1>,N,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,,
COC(C)C(=O)N(Cc1ccccc1Cl)c1ccccn1,<bos>,C,O,C,(,C,),C=O,N,(,<2>,c1ccncc1,),C,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,
CCOc1cc(N)ccc1S(=O)(=O)Nc1ccccc1,<bos>,c1ccccc1,<0>,N,O=[SH2]=O,<3>,c1ccccc1,<4>,<0>,(,N,),O,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)c2nc3c(s2)CCN(C(=O)N(C)C)CC3)n1,<bos>,C,N,(,C,),C=O,<7>,c1nc2c(s1)CCNCC2,<0>,C=O,N,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
C=CCNC(=O)NCC1(C)Oc2ccc(Cl)cc2NC1=O,<bos>,C,<2>,O=C1COc2ccccc2N1,<2>,<7>,(,Cl,),C,N,C=O,N,C,<0>,C=C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCc1cc(Br)nc(-c2ccccn2)c1F,<bos>,F,<5>,c1ccncc1,<0>,<2>,(,Br,),<4>,(,<2>,c1ccncc1,),C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1ccnc(N2CC3(CCC(=O)NC3)CCC2CC2CC2)n1,<bos>,C,<1>,c1cncnc1,<3>,<8>,O=C1CCC2(CCCNC2)CN1,<7>,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCc1nn(C)c(NC(=O)C2CCCCC2)c1C#N,<bos>,C,C,C,<1>,c1cn[nH]c1,<4>,<3>,(,C,),<0>,(,C#N,),N,C=O,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,
COC(=O)c1ccc(NC(=O)Cn2c(C)cc3ccccc32)cc1,<bos>,C,O,C=O,<0>,c1ccccc1,<3>,N,C=O,C,<4>,c1ccc2[nH]ccc2c1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(-c2noc(CCn3cncn3)n2)cc1,<bos>,c1ccccc1,<0>,<0>,c1ncon1,<2>,C,C,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)CCC1=NC2C=CC(C(F)(F)F)=CC2=N1,<bos>,F,C,(,F,),(,F,),<0>,C1=CC2=NC=NC2C=C1,<4>,C,C,C=O,O,C,C,<eos>,,,,,,,,,,,,,,,,,,,,
CC(C)CCNC(=O)c1ccccc1NC(=O)c1ccc(C#N)cc1,<bos>,C,C,(,C,),C,C,N,C=O,<0>,c1ccccc1,<5>,N,C=O,<0>,c1ccccc1,<3>,C#N,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccnc(OC2CCC2)c1)c1ccnc2c1OCO2,<bos>,C1CCC1,<0>,O,<4>,c1ccncc1,<0>,C,N,C=O,<5>,c1cnc2c(c1)OCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(N2CCC(C(N)=O)CC2)ncnc1N1CCCC(C)C1,<bos>,N,C=O,<0>,C1CCNCC1,<3>,<1>,c1cncnc1,<5>,<0>,(,C,),<3>,C1CCNCC1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(C)(NC(=O)NCCO)Oc1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),O,C,(,C,),(,C,),N,C=O,N,C,C,O,<eos>,,,,,,,,,,,,,,,
O=C(NCc1noc(-c2ccc(Cl)cc2)n1)Nc1ccc(F)cn1,<bos>,F,<1>,c1ccncc1,<4>,N,C=O,N,C,<0>,c1ncon1,<2>,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(OC)c(C2(NC(=O)CCNC(C)=O)CCCC2)c1,<bos>,C,O,<0>,c1ccccc1,<4>,<3>,(,O,C,),<0>,C1CCCC1,<0>,N,C=O,C,C,N,C=O,C,<eos>,,,,,,,,,,,,,,,,,
CCc1c(C#N)nnn1-c1nc(C)c(C)s1,<bos>,C,<0>,c1cscn1,<3>,<1>,(,C,),<2>,c1c[nH]nn1,<1>,<0>,(,C#N,),C,C,<eos>,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CC(=O)NCC2(CC(C)C)CCCC2)CC1,<bos>,C,C,(,C,),C,<0>,C1CCCC1,<0>,C,N,C=O,C,<5>,C1CNCCN1,<2>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,
CCn1ncc(C(=O)NC2CCCCNC2=O)c1C,<bos>,C,C,<3>,c1cn[nH]c1,<0>,<4>,(,C,),C=O,N,<2>,O=C1CCCCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(OC(C)C(=O)NC(C)c2ccc(-n3cncn3)cc2)cc1,<bos>,C,<3>,c1ccccc1,<0>,O,C,(,C,),C=O,N,C,(,C,),<0>,c1ccccc1,<3>,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,
CNC(=O)CNC(=O)NCc1ccccc1Cl,<bos>,C,N,C=O,C,N,C=O,N,C,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1ccc(C(=O)Nc2cnc(N3CCOCC3)nc2)o1,<bos>,C,C,<4>,c1ccoc1,<2>,C=O,N,<0>,c1cncnc1,<3>,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1sc(S(N)(=O)=O)c(C)c1C(=O)NC1CC1,<bos>,N,O=[SH2]=O,<2>,c1ccsc1,<0>,<1>,(,C,),<4>,(,C,),C=O,N,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(c1ccc(F)cc1F)N1CCC2CN(c3nccs3)CCOC2C1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,F,),C=O,<5>,C1COC2CNCCC2CN1,<10>,<3>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(NCc1ccccc1)c1ccc(CO)cc1Br,<bos>,O,C,<0>,c1ccccc1,<3>,<4>,(,Br,),O=[SH2]=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)CNc2nc3c(s2)c(C)nn3C)n1,<bos>,C,<5>,c1nc2[nH]ncc2s1,<0>,<3>,(,C,),N,C,C=O,N,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)c2ccc3c(=O)n4c(nc3c2)CCC4)no1,<bos>,C,<4>,c1cnoc1,<1>,N,C=O,<5>,O=c1c2ccccc2nc2n1CCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(Cc1ccccc1F)NC(=O)C1CCCN(C(=O)C(C)(C)C)C1,<bos>,C,C,(,C,),(,C,),C=O,<3>,C1CCNCC1,<1>,C=O,N,C,(,C,),C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,
COc1ccc(OC(C)C(=O)N(C)c2cccc3ncccc23)cc1,<bos>,C,N,(,<9>,c1ccc2ncccc2c1,),C=O,C,(,C,),O,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCCN(CCCC#N)C(=O)C(C)CC,<bos>,C,C,C,(,C,),C=O,N,(,C,C,C,),C,C,C,C#N,<eos>,,,,,,,,,,,,,,,,,,,,
CC(=O)NC(C(=O)Nc1nc2c(s1)COCC2)C(C)C,<bos>,C,C=O,N,C,(,C,(,C,),C,),C=O,N,<0>,c1nc2c(s1)COCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N(CCC(=O)NCc1cscn1)Cc1ccccc1,<bos>,c1ccccc1,<0>,C,N,(,C=O,C,),C,C,C=O,N,C,<0>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,,,
COC(=O)C(C)NC(=O)c1cccc(C)c1N,<bos>,C,<4>,c1ccccc1,<0>,<5>,(,N,),C=O,N,C,(,C,),C=O,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CNC(=O)c1ccc(C(=O)N(CC2(C)CCOCC2)C2CC2)cc1,<bos>,C,<0>,C1CCOCC1,<0>,C,N,(,<0>,C1CC1,),C=O,<3>,c1ccccc1,<0>,C=O,N,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccc(OCC(=O)NCc2cccnc2)cc1Br,<bos>,Br,<4>,c1ccccc1,<0>,<3>,(,C,),O,C,C=O,N,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(C2CCCC2)N(CCC#N)C2CC2)cc1,<bos>,C,<0>,c1ccccc1,<3>,C,(,<0>,C1CCCC1,),N,(,<0>,C1CC1,),C,C,C#N,<eos>,,,,,,,,,,,,,,,,,,,,
CC(C)C(=O)N(Cc1ccc(-c2ccccc2)o1)C1CC1,<bos>,C,C,(,C,),C=O,N,(,<0>,C1CC1,),C,<4>,c1ccoc1,<2>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cccc2c(=O)n(CC(C)Nc3ccc(F)cc3)cnc12,<bos>,F,<3>,c1ccccc1,<0>,N,C,(,C,),C,<2>,O=c1[nH]cnc2ccccc12,<6>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(N1CCOCC1)N(CCc1ccccc1)CC1CC1,<bos>,C1CC1,<0>,C,N,(,C=O,<5>,C1COCCN1,),C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc(NCC2CCOC2)c2c(-c3ccccc3)csc2n1,<bos>,C,<0>,c1ncc2ccsc2n1,<2>,<4>,(,<0>,c1ccccc1,),N,C,<0>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
C=CCSc1nnc(-c2ccc(C)c(C)c2)n1N,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),<3>,c1nnc[nH]1,<0>,<4>,(,N,),S,C,<0>,C=C,<eos>,,,,,,,,,,,,,,,,,,
CC(C)c1nc(C2CCCN2C(=O)CC2OC(=O)c3ccccc32)no1,<bos>,C,C,(,C,),<2>,c1ncon1,<0>,<4>,C1CCNC1,<3>,C=O,C,<3>,O=C1OCc2ccccc21,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCn1nccc1C(=O)N1CCCN(n2ncccc2=O)CC1,<bos>,C,C,<3>,c1cn[nH]c1,<4>,C=O,<2>,C1CNCCNC1,<5>,<6>,O=c1cccn[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(=O)n(CC(=O)Nc2nc[nH]n2)n1,<bos>,C,<4>,O=c1cccn[nH]1,<6>,C,C=O,N,<0>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1ccc(OCCSc2nc(C)cc(N)n2)cc1,<bos>,C,<1>,c1cncnc1,<3>,<5>,(,N,),S,C,C,O,<0>,c1ccccc1,<3>,C,C,<eos>,,,,,,,,,,,,,,,,,,,,
N#Cc1c[nH]c(C(=O)N2CCOc3ccc(F)cc32)c1,<bos>,C#N,<0>,c1cc[nH]c1,<2>,C=O,<6>,c1ccc2c(c1)NCCO2,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cnn(CC2CN(Cc3ccccc3)CCO2)c1,<bos>,Br,<0>,c1cn[nH]c1,<3>,C,<1>,C1COCCN1,<5>,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C)c(-n2ccc(C(=O)N(C)CC(O)C(F)(F)F)n2)c1,<bos>,F,C,(,F,),(,F,),C,(,O,),C,N,(,C,),C=O,<1>,c1cn[nH]c1,<3>,<4>,c1ccccc1,<0>,<3>,(,C,),C,<eos>,,,,,,,,
O=C(Nc1ccc(-n2cnnn2)cc1)c1ccccc1F,<bos>,F,<5>,c1ccccc1,<0>,C=O,N,<0>,c1ccccc1,<3>,<4>,c1nnn[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC(C(=O)N1CCOC(C(F)(F)F)C1)C1CCCC1,<bos>,F,C,(,F,),(,F,),<1>,C1COCCN1,<5>,C=O,C,(,<0>,C1CCCC1,),N,C=O,C,<eos>,,,,,,,,,,,,,,,,,
Cc1nc(CSc2nc(N)cc(N)n2)nc2ccccc12,<bos>,N,<1>,c1cncnc1,<3>,<5>,(,N,),S,C,<5>,c1ccc2ncncc2c1,<7>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COC(C(=O)N1CCCCC1)c1ccc(F)cc1F,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,F,),C,(,C=O,<3>,C1CCNCC1,),O,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)cc(NC(=O)N2CCCC(c3nc(C)cs3)C2)c1,<bos>,C,<2>,c1ccccc1,<0>,<4>,(,C,),N,C=O,<3>,C1CCNCC1,<1>,<3>,c1cscn1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,
Fc1cc2c(c(F)c1F)C(c1cnc3ccccc3c1)NCC2,<bos>,F,<0>,c1ccc2c(c1)CCNC2,<9>,<1>,(,F,),<2>,(,F,),<6>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncc(Cl)c(C(=O)N(C)C(C)c2ccccc2O)n1,<bos>,C,<3>,c1cncnc1,<5>,<0>,(,Cl,),C=O,N,(,C,),C,(,C,),<0>,c1ccccc1,<5>,O,<eos>,,,,,,,,,,,,,,,,
COCCCC(=O)N(Cc1cccc(C)c1)Cc1cccn1C,<bos>,C,<3>,c1cc[nH]c1,<4>,C,N,(,C,<0>,c1ccccc1,<4>,C,),C=O,C,C,C,O,C,<eos>,,,,,,,,,,,,,,,,,,
CSc1ccc(C(=O)Nc2nnc(Cc3ccccc3C)o2)cc1,<bos>,C,S,<0>,c1ccccc1,<3>,C=O,N,<0>,c1nnco1,<3>,C,<0>,c1ccccc1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(NC(=O)c2ccc3[nH]cnc3c2)cc1Br,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,Br,),N,C=O,<0>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
