smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
CCCOC(=O)C1CCCCN1C(=O)c1ccc(C)cc1,<bos>,C,C,C,O,C=O,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)Cn2cncn2)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,C,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1oc(-c2ccc(S(C)(=O)=O)cc2)nc1C(C)C,<bos>,C,C,(,C,),<0>,c1cocn1,<3>,<1>,(,C,),<0>,c1ccccc1,<3>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,
CCn1cc(C(=O)N2CCC(c3cccc(C#N)c3)CC2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,<3>,C1CCNCC1,<0>,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,
Cn1c(COC(=O)c2ccc(O)cc2)nc2cc(F)ccc21,<bos>,C,<4>,c1ccc2[nH]cnc2c1,<5>,<0>,(,F,),C,O,C=O,<0>,c1ccccc1,<3>,O,<eos>,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CN1CCCC2(C1)OCCO2,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,<2>,C1CNCC2(C1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,
COC(=O)CSc1ncnc2sc(-c3ccccc3)cc12,<bos>,C,O,C=O,C,S,<2>,c1ncc2ccsc2n1,<5>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCC(=O)Nc1nnc(COc2ccccc2OC)s1,<bos>,C,C,C=O,N,<0>,c1nncs1,<3>,C,O,<0>,c1ccccc1,<5>,O,C,<eos>,,,,,,,,,,,,,,,,,
Cc1ncoc1C1=C(C(=O)OCc2ccccc2)CNC(=O)N1,<bos>,C,<0>,c1cocn1,<1>,<3>,O=C1NC=CCN1,<4>,C=O,O,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
COCC(C)NC(=O)c1cc(C)c(-c2ccc(F)cc2)s1,<bos>,F,<3>,c1ccccc1,<0>,<2>,c1ccsc1,<4>,<1>,(,C,),C=O,N,C,(,C,),C,O,C,<eos>,,,,,,,,,,,
Cn1c(SCC(=O)Nc2ccccc2)nnc1-c1ccncc1,<bos>,C,<4>,c1nnc[nH]1,<0>,<3>,(,<0>,c1ccncc1,),S,C,C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,
O=C(Nc1cnn(-c2ccccc2Cl)c1)c1n[nH]c2c1CCCC2,<bos>,Cl,<5>,c1ccccc1,<0>,<3>,c1cn[nH]c1,<0>,N,C=O,<0>,c1n[nH]c2c1CCCC2,<eos>,,,,,,,,,,,,,,,,,,,,
O=C1Cc2cc(NC(=O)c3cnc4ccccc4n3)ccc2N1,<bos>,c1ccc2nccnc2c1,<5>,C=O,N,<5>,O=C1Cc2ccccc2N1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1ccccc1OCCn1nc(-c2ccccc2)ccc1=O,<bos>,c1ccccc1,<0>,<4>,O=c1cccn[nH]1,<6>,C,C,O,<5>,c1ccccc1,<0>,C#N,<eos>,,,,,,,,,,,,,,,,,,,
CC(CO)C(=O)NCc1cccc(Cl)c1Cl,<bos>,Cl,<4>,c1ccccc1,<0>,<5>,(,Cl,),C,N,C=O,C,(,C,),C,O,<eos>,,,,,,,,,,,,,,
Cc1ccc(NCC(=O)NCc2ccc(Cl)cc2)cc1C#N,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C#N,),N,C,C=O,N,C,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,
CCN(c1oc(-c2ccc(F)cc2)nc1C#N)C(C)C,<bos>,C,C,N,(,C,(,C,),C,),<1>,c1cocn1,<3>,<0>,(,C#N,),<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,
COc1cc(C#N)ccc1OC(=O)Cn1c(C)cc(=O)[nH]c1=O,<bos>,C,O,<4>,c1ccccc1,<3>,<0>,(,C#N,),O,C=O,C,<4>,O=c1cc[nH]c(=O)[nH]1,<3>,C,<eos>,,,,,,,,,,,,,,,
,<bos>,Br,<6>,O=c1cccc[nH]1,<7>,<2>,(,N,),<5>,(,<0>,c1ccncc1,),Cl,<eos>,,,,,,,,,,,,,,,,,
COC1C2CCC1N(C(=O)c1ccc3ccccc3c1)C2,<bos>,C,O,<3>,C1CC2CC1CN2,<6>,C=O,<0>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(COc1cccc(Br)c1)NCC(=O)NC1CC1,<bos>,C1CC1,<0>,N,C=O,C,N,C=O,C,O,<0>,c1ccccc1,<4>,Br,<eos>,,,,,,,,,,,,,,,,,,
CN(Cc1ccncc1)C(=O)c1cccc(S(N)(=O)=O)c1,<bos>,c1ccncc1,<0>,C,N,(,C,),C=O,<0>,c1ccccc1,<4>,O=[SH2]=O,N,<eos>,,,,,,,,,,,,,,,,,,
CCCN(C)C(=O)c1ccc(Nc2cncnc2C)cc1,<bos>,C,C,C,N,(,C,),C=O,<0>,c1ccccc1,<3>,N,<0>,c1cncnc1,<5>,C,<eos>,,,,,,,,,,,,,,,
Cc1cc(C)c(C(=O)NCc2cnn(-c3ncccn3)c2)c(C)c1,<bos>,C,<0>,c1ccccc1,<3>,<2>,(,C,),<4>,(,C,),C=O,N,C,<0>,c1cn[nH]c1,<3>,<3>,c1cncnc1,<eos>,,,,,,,,,,,
CC1(C(=O)NC2CCCN(S(C)(=O)=O)C2)CC1(Cl)Cl,<bos>,C,<0>,C1CC1,<0>,<2>,(,Cl,),<2>,(,Cl,),C=O,N,<1>,C1CCNCC1,<3>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,
CN(CC(=O)Nc1ccc(F)c(C#N)c1)c1cnc2cnccn12,<bos>,F,<3>,c1ccccc1,<0>,<4>,(,C#N,),N,C=O,C,N,(,C,),<3>,c1cn2ccnc2cn1,<eos>,,,,,,,,,,,,,,
COc1ccc(C(=O)Cn2cc(Cl)cn2)c(O)c1,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,(,O,),C=O,C,<3>,c1cn[nH]c1,<0>,Cl,<eos>,,,,,,,,,,,,,,,,
CC1CCc2sc(NC(=O)Nc3nccs3)nc2C1,<bos>,C,<7>,c1nc2c(s1)CCCC2,<0>,N,C=O,N,<3>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)c1cnc(C2CCCO2)s1,<bos>,C,C,C,N,C=O,<1>,c1cscn1,<3>,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCCNC(=O)CSc1ccccc1,<bos>,c1ccccc1,<0>,S,C,C=O,N,C,C,N,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,
COCCn1ccn(-c2ccc(OC)cc2OC)c(=O)c1=O,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,(,O,C,),<5>,O=c1[nH]cc[nH]c1=O,<2>,C,C,O,C,<eos>,,,,,,,,,,,,,,
CCC(=O)N1CCC(NC(=O)CCc2nc(-c3ccco3)no2)CC1,<bos>,C,C,C=O,<3>,C1CCNCC1,<0>,N,C=O,C,C,<2>,c1ncon1,<0>,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,
Cc1cc(NC(=O)N2CCCCC2c2nc(CC(C)C)no2)no1,<bos>,C,C,(,C,),C,<0>,c1ncon1,<2>,<2>,C1CCNCC1,<3>,C=O,N,<1>,c1cnoc1,<4>,C,<eos>,,,,,,,,,,,,,
COc1ccc(NC(=O)C2CCOCC2)cc1OC,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,O,C,),N,C=O,<0>,C1CCOCC1,<eos>,,,,,,,,,,,,,,,,,
O=C(COC(=O)CCOc1ccccc1)NC1CC1,<bos>,C1CC1,<0>,N,C=O,C,O,C=O,C,C,O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
CCCC(=O)NCC(=O)Nc1ccc(Br)c(C)c1,<bos>,C,<4>,c1ccccc1,<0>,<3>,(,Br,),N,C=O,C,N,C=O,C,C,C,<eos>,,,,,,,,,,,,,,,
CCCNC(=O)CSc1nncn1-c1ccc(C)cc1,<bos>,C,C,C,N,C=O,C,S,<0>,c1nnc[nH]1,<4>,<0>,c1ccccc1,<3>,C,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(C2CN(Cc3noc4c3CCCC4)C2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,<0>,C1CNC1,<2>,C,<0>,c1noc2c1CCCC2,<eos>,,,,,,,,,,,,,,,,,,,,
CCOC(=O)n1cc2c(c1-c1ccc(C)c(C)c1)c(=O)n(C)c(=O)n2C,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),<6>,O=c1[nH]c(=O)c2c[nH]cc2[nH]1,<7>,<2>,(,C,),<10>,(,C,),C=O,O,C,C,<eos>,,,,,,,,
COCC(=O)N1CCC(C(=O)c2ccc(Cl)cc2)CC1,<bos>,C,O,C,C=O,<3>,C1CCNCC1,<0>,C=O,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccncc1NC(=O)NC1C2CCOC2C1(C)C,<bos>,C,<4>,C1CC2CCC2O1,<3>,<4>,(,C,),N,C=O,N,<5>,c1ccncc1,<0>,C,<eos>,,,,,,,,,,,,,,,,
Cc1cc(Cl)ccc1Nc1nc(=O)[nH]nc1C,<bos>,C,<4>,c1ccccc1,<3>,<0>,(,Cl,),N,<3>,O=c1nccn[nH]1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,
Nc1nsc(NC(=O)c2cc3c(F)cccc3s2)n1,<bos>,F,<8>,c1ccc2sccc2c1,<5>,C=O,N,<2>,c1ncsn1,<0>,N,<eos>,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)c1cc(CO)n(Cc2ccccc2OC)c1,<bos>,C,C,O,C=O,<0>,c1cc[nH]c1,<3>,<2>,(,C,O,),C,<0>,c1ccccc1,<5>,O,C,<eos>,,,,,,,,,,,,,
CS(=O)(=O)NCC(=O)Nc1ccc(-n2ccnc2)cc1,<bos>,C,O=[SH2]=O,N,C,C=O,N,<0>,c1ccccc1,<3>,<2>,c1c[nH]cn1,<eos>,,,,,,,,,,,,,,,,,,,,
COc1cccc(C(O)CCNC(=O)Oc2ccccc2)c1,<bos>,C,O,<0>,c1ccccc1,<4>,C,(,O,),C,C,N,C=O,O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,
CCOc1ccc(CNC(=O)NCc2cnn(C)c2C)cc1F,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,C,),C,N,C=O,N,C,<0>,c1ccccc1,<3>,<4>,(,F,),O,C,C,<eos>,,,,,,,,
CC(C)Nc1ccc(NC(=O)Cc2cc(F)ccc2F)cn1,<bos>,C,C,(,C,),N,<4>,c1ccncc1,<1>,N,C=O,C,<4>,c1ccccc1,<0>,<3>,(,F,),F,<eos>,,,,,,,,,,,
O=C(COc1ccccc1F)N1CCN(c2ccc(Cl)cc2)CC1,<bos>,F,<5>,c1ccccc1,<0>,O,C,C=O,<2>,C1CNCCN1,<5>,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,,
CC(NC(=O)c1cnc2n(c1=O)CCS2)c1nnc2ccccn12,<bos>,c1ccn2cnnc2c1,<4>,C,(,C,),N,C=O,<2>,O=c1ccnc2n1CCS2,<eos>,,,,,,,,,,,,,,,,,,,,,
N#Cc1cccc(C(=O)OCC(=O)NC2CCCC2)c1,<bos>,C1CCCC1,<0>,N,C=O,C,O,C=O,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,
CCCOC(=O)CSc1nnc(Cc2cccs2)o1,<bos>,C,C,C,O,C=O,C,S,<0>,c1nnco1,<3>,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,
Cc1ccc(CCNC(=O)Cc2ccc(N)cc2)o1,<bos>,C,<4>,c1ccoc1,<2>,C,C,N,C=O,C,<0>,c1ccccc1,<3>,N,<eos>,,,,,,,,,,,,,,,,,,
Cc1ccccc1-n1nc(C(=O)Nc2nccs2)c2c1CCC2,<bos>,C,<5>,c1ccccc1,<0>,<2>,c1n[nH]c2c1CCC2,<0>,C=O,N,<3>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1-c1c(N)ccn2nc(C(N)=O)nc12,<bos>,C,<5>,c1ccccc1,<0>,<8>,c1ccn2ncnc2c1,<5>,<0>,(,N,),C=O,N,<eos>,,,,,,,,,,,,,,,,,,
CCCc1noc(C)c1-c1nnc(NCc2cccs2)o1,<bos>,C,C,C,<1>,c1cnoc1,<0>,<4>,(,C,),<0>,c1nnco1,<3>,N,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,
COc1ccc(C(=O)N2CCCC2c2nnc3ccccn23)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,C=O,<3>,C1CCNC1,<4>,<4>,c1ccn2cnnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,
O=S(=O)(Oc1ccccc1N1CCOCC1)c1ccc(F)cc1,<bos>,F,<3>,c1ccccc1,<0>,O=[SH2]=O,O,<0>,c1ccccc1,<5>,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(Cn1ccc(C(F)(F)F)n1)Nc1ccc(Br)cn1,<bos>,F,C,(,F,),(,F,),<1>,c1cn[nH]c1,<3>,C,C=O,N,<4>,c1ccncc1,<1>,Br,<eos>,,,,,,,,,,,,,
CCC(=O)Nc1ccc(C(=O)Nc2c(C(N)=O)oc3ccccc23)cc1,<bos>,C,C,C=O,N,<0>,c1ccccc1,<3>,C=O,N,<6>,c1ccc2occc2c1,<5>,C=O,N,<eos>,,,,,,,,,,,,,,,,,
CC(C)CCNC(=O)C1CCN(C(=O)c2ccn(C)n2)CC1,<bos>,C,C,(,C,),C,C,N,C=O,<0>,C1CCNCC1,<3>,C=O,<1>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,
Cc1cc(N)c(=O)n(-c2cccc(Br)c2)n1,<bos>,N,<2>,O=c1cccn[nH]1,<6>,<4>,(,C,),<0>,c1ccccc1,<4>,Br,<eos>,,,,,,,,,,,,,,,,,,,
CCCNC(=O)CN(C(=O)c1occc1C1CC1)C(C)C,<bos>,C1CC1,<0>,<0>,c1ccoc1,<4>,C=O,N,(,C,(,C,),C,),C,C=O,N,C,C,C,<eos>,,,,,,,,,,,
Cc1ccc2c(c1F)CCNC2c1cncnc1,<bos>,C,<0>,c1ccc2c(c1)CCNC2,<9>,<5>,(,F,),<0>,c1cncnc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)c2[nH]nc(C)c2Br)cc1,<bos>,C,<1>,c1cn[nH]c1,<4>,<0>,(,Br,),C=O,N,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,
COc1cccc(NC(=O)c2c(-c3ccccc3)nn3ncccc23)c1,<bos>,C,O,<0>,c1ccccc1,<4>,N,C=O,<6>,c1cnn2nccc2c1,<5>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
COc1cccnc1NC(=O)COc1ccc(C)cc1,<bos>,C,<0>,c1ccccc1,<3>,O,C,C=O,N,<2>,c1ccncc1,<1>,O,C,<eos>,,,,,,,,,,,,,,,,,,
CNC(=O)c1ccc(COc2ccc(C(=O)C(C)C)cc2C)o1,<bos>,C,C,(,C,),C=O,<0>,c1ccccc1,<3>,<4>,(,C,),O,C,<4>,c1ccoc1,<2>,C=O,N,C,<eos>,,,,,,,,,,
CCn1ncc(S(=O)(=O)Nc2cccn(C)c2=O)c1C,<bos>,C,C,<3>,c1cn[nH]c1,<0>,<4>,(,C,),O=[SH2]=O,N,<2>,O=c1cccc[nH]1,<6>,C,<eos>,,,,,,,,,,,,,,,,
Cc1ccc(OC(C)C(=O)NCc2ccccc2)cc1,<bos>,C,<3>,c1ccccc1,<0>,O,C,(,C,),C=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
CC(=O)c1cccnc1Nc1ccc(S(C)(=O)=O)cc1,<bos>,C,C=O,<1>,c1ccncc1,<2>,N,<0>,c1ccccc1,<3>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccc(NC(=O)c2cccc3[nH]ccc23)cc1S(C)(=O)=O,<bos>,C,O=[SH2]=O,<4>,c1ccccc1,<0>,<3>,(,C,),N,C=O,<8>,c1ccc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,
COc1cc(Cl)c(NC(=O)c2csnn2)cc1Cl,<bos>,C,O,<2>,c1ccccc1,<5>,<0>,(,Cl,),<3>,(,Cl,),N,C=O,<0>,c1csnn1,<eos>,,,,,,,,,,,,,,
Cc1cc(C)n2nc(SCc3c(C)noc3C)nc2n1,<bos>,C,<1>,c1cnoc1,<0>,<4>,(,C,),C,S,<5>,c1cnc2ncnn2c1,<8>,<1>,(,C,),C,<eos>,,,,,,,,,,,,,
CCCc1cccc(S(=O)(=O)Nc2ccc3c(c2)oc(=O)n3C)c1,<bos>,C,C,C,<0>,c1ccccc1,<4>,O=[SH2]=O,N,<6>,O=c1[nH]c2ccccc2o1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,,
OCCc1c(CO)nnn1-c1ccc2c(c1)CCCC2,<bos>,O,C,<0>,c1c[nH]nn1,<1>,<2>,(,<0>,c1ccc2c(c1)CCCC2,),C,C,O,<eos>,,,,,,,,,,,,,,,,,,
C=CCN1C(=O)CCc2c(C)nc(N3CCOCC3)nc21,<bos>,C,<5>,O=C1CCc2cncnc2N1,<10>,<7>,(,<5>,C1COCCN1,),C,<0>,C=C,<eos>,,,,,,,,,,,,,,,,,,,
Cn1ncc2cc(C(=O)Nc3ccncc3)c(N)nc21,<bos>,C,<4>,c1cnc2[nH]ncc2c1,<0>,<1>,(,N,),C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,
CCNC(=O)c1nc(-c2ccc(C(=O)OCC)cc2)c(C)o1,<bos>,C,C,N,C=O,<3>,c1cocn1,<0>,<1>,(,C,),<3>,c1ccccc1,<0>,C=O,O,C,C,<eos>,,,,,,,,,,,,,
CCOC(=O)CNC(=O)CN1CCc2cc(F)ccc2C1,<bos>,C,C,O,C=O,C,N,C=O,C,<8>,c1ccc2c(c1)CCNC2,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,
CCCNC(=O)N1CCCC1c1nc2cc(C)ccc2[nH]1,<bos>,C,C,C,N,C=O,<3>,C1CCNC1,<4>,<5>,c1ccc2[nH]cnc2c1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,
CC(NC(=O)C1CCN(c2cc(F)ccc2F)C1=O)C1CC1,<bos>,F,<0>,c1ccccc1,<4>,<3>,(,F,),<5>,O=C1CCCN1,<2>,C=O,N,C,(,<0>,C1CC1,),C,<eos>,,,,,,,,,,,,
O=C(NC1CCN(c2ncccn2)CC1)c1cnns1,<bos>,c1cncnc1,<3>,<3>,C1CCNCC1,<0>,N,C=O,<1>,c1csnn1,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(O)C(C)NC(=O)c2cc(C)sc2C)cc1,<bos>,C,<4>,c1ccsc1,<1>,<2>,(,C,),C=O,N,C,(,C,),C,(,O,),<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,
CC(=O)NCC#Cc1ccccc1NC(=O)CCNC(C)=O,<bos>,C,C=O,N,C,C,C=O,N,<0>,c1ccccc1,<5>,<0>,C#C,<1>,C,N,C=O,C,<eos>,,,,,,,,,,,,,,
O=C(CCc1nnc(-c2ccccc2)o1)NCc1ccco1,<bos>,c1ccoc1,<4>,C,N,C=O,C,C,<0>,c1nnco1,<3>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(C2CC2)N(C(=O)CCc2cc(C)[nH]n2)C2CC2)cc1,<bos>,C,<0>,c1ccccc1,<3>,C,(,<0>,C1CC1,),N,(,<0>,C1CC1,),C=O,C,C,<1>,c1cn[nH]c1,<4>,C,<eos>,,,,,,,,,,
CC(C)NC(=O)Cc1ccc(N2CCCS2(=O)=O)cc1,<bos>,C,C,(,C,),N,C=O,C,<0>,c1ccccc1,<3>,<6>,O=S1(=O)CCCN1,<eos>,,,,,,,,,,,,,,,,,,
CC(Cc1ccc(Cl)cc1)NC(=O)NCc1cnn(C)c1,<bos>,Cl,<3>,c1ccccc1,<0>,C,C,(,C,),N,C=O,N,C,<0>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,
O=C(NCc1ccco1)C1CCCN(C(=O)c2ccncc2)C1,<bos>,c1ccoc1,<4>,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
CN(Cc1ccc(Cl)cc1)C(=O)c1cccc(OCC(F)F)n1,<bos>,F,C,(,F,),C,O,<4>,c1ccncc1,<2>,C=O,N,(,C,),C,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,
CC(Cn1cnc2cnccc2c1=O)NC(=O)C1CCCCC1,<bos>,O=c1[nH]cnc2cnccc12,<2>,C,C,(,C,),N,C=O,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,
CN(C(=O)Cn1nnc(C(=O)Nc2ccccc2)n1)C1CCCCC1,<bos>,C,N,(,<0>,C1CCCCC1,),C=O,C,<3>,c1nn[nH]n1,<0>,C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,
O=C(Cn1c(-c2cccc3ccccc23)noc1=O)NC1CC1,<bos>,C1CC1,<0>,N,C=O,C,<2>,O=c1[nH]cno1,<3>,<4>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCc1nnc(NC(=O)C(C)OCc2ccccc2F)s1,<bos>,C,C,<3>,c1nncs1,<0>,N,C=O,C,(,C,),O,C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,
CN(C(=O)CN1CCN(c2ncccn2)CC1)C1CCCCC1,<bos>,C,N,(,<0>,C1CCCCC1,),C=O,C,<2>,C1CNCCN1,<5>,<3>,c1cncnc1,<eos>,,,,,,,,,,,,,,,,,,
O=C(Nc1cnn(-c2ccncc2Cl)c1)c1cc[nH]c1,<bos>,Cl,<5>,c1ccncc1,<0>,<3>,c1cn[nH]c1,<0>,N,C=O,<0>,c1cc[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,
CCOc1ccccc1C(=O)NCc1c(C)noc1C,<bos>,C,<1>,c1cnoc1,<0>,<4>,(,C,),C,N,C=O,<5>,c1ccccc1,<0>,O,C,C,<eos>,,,,,,,,,,,,,,
CC1CN(CCNC(=O)c2coc(-n3cccc3)c2C#N)CCO1,<bos>,C#N,<0>,c1ccoc1,<1>,<4>,(,<3>,c1cc[nH]c1,),C=O,N,C,C,<5>,C1COCCN1,<1>,C,<eos>,,,,,,,,,,,,,,
N#Cc1ccc(OCC(=O)NC2CC2)c(Br)c1,<bos>,Br,<4>,c1ccccc1,<3>,<0>,(,C#N,),O,C,C=O,N,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,
CCc1ccccc1NC(=O)C(C)Sc1nnc2nc(C)cc(C)n12,<bos>,C,<1>,c1cnc2nncn2c1,<6>,<8>,(,C,),S,C,(,C,),C=O,N,<5>,c1ccccc1,<0>,C,C,<eos>,,,,,,,,,,,
Cc1ccc(NC(C)C(=O)NCC(O)C(F)(F)F)cc1,<bos>,F,C,(,F,),(,F,),C,(,O,),C,N,C=O,C,(,C,),N,<3>,c1ccccc1,<0>,C,<eos>,,,,,,,
O=C(Cc1ccc(-c2ccn[nH]2)cc1)NCC1CCC1,<bos>,C1CCC1,<0>,C,N,C=O,C,<0>,c1ccccc1,<3>,<4>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,
CCc1c(C)nc(SCC(=O)Nc2ccc(C)cc2)[nH]c1=O,<bos>,C,C,<2>,O=c1ccnc[nH]1,<5>,<3>,(,C,),S,C,C=O,N,<0>,c1ccccc1,<3>,C,<eos>,,,,,,,,,,,,,,
CCS(=O)(=O)c1ccc(NC(C)c2ccccc2F)cc1,<bos>,F,<5>,c1ccccc1,<0>,C,(,C,),N,<3>,c1ccccc1,<0>,O=[SH2]=O,C,C,<eos>,,,,,,,,,,,,,,,,
O=C(N1CCc2cc(Cl)c(Cl)cc2C1)N1CC(O)C1,<bos>,Cl,<0>,c1ccc2c(c1)CCNC2,<8>,<1>,(,Cl,),C=O,<2>,C1CNC1,<0>,O,<eos>,,,,,,,,,,,,,,,,,,
Cc1nnnn1-c1ccccc1OCc1ccc(F)cc1,<bos>,C,<0>,c1nnn[nH]1,<4>,<0>,c1ccccc1,<5>,O,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
