smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
N#Cc1cccc(CNC(=O)c2cnc(C3CCCO3)s2)c1,<bos>,C1CCOC1,<4>,<3>,c1cscn1,<1>,C=O,N,C,<4>,c1ccccc1,<0>,C#N,<eos>,,,,,,,,,,,,,,,,,,,
CC(NC(=O)Cc1cccc(Cl)c1)c1ccc(-n2cncn2)cc1,<bos>,c1nc[nH]n1,<3>,<3>,c1ccccc1,<0>,C,(,C,),N,C=O,C,<0>,c1ccccc1,<4>,Cl,<eos>,,,,,,,,,,,,,,,
Cc1ccc(F)cc1S(=O)(=O)N1CCC(C(=O)N(C)C)CC1,<bos>,C,<3>,c1ccccc1,<4>,<0>,(,F,),O=[SH2]=O,<3>,C1CCNCC1,<0>,C=O,N,(,C,),C,<eos>,,,,,,,,,,,,,
CCCCS(=O)(=O)NC1CCN(C(=O)c2ccco2)CC1,<bos>,C,C,C,C,O=[SH2]=O,N,<0>,C1CCNCC1,<3>,C=O,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,
COCC(NC(=O)CCc1ccc(F)cc1)C(N)=O,<bos>,C,O,C,C,(,C=O,N,),N,C=O,C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,
Cc1cc2c(o1)CC(C)(C)CC2NC(=O)N1CCCC(C)CC1,<bos>,C,<6>,c1cc2c(o1)CCCC2,<8>,<6>,(,C,),<0>,(,C,),N,C=O,<4>,C1CCCNCC1,<0>,C,<eos>,,,,,,,,,,,,,
Cc1ccc(C)c(SCC(=O)N2CCCC(C(N)=O)C2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,C,),S,C,C=O,<3>,C1CCNCC1,<1>,C=O,N,<eos>,,,,,,,,,,,,,,,
COc1ccc(Cn2nc(CO)cc2-c2ccccc2)cc1,<bos>,O,C,<1>,c1cn[nH]c1,<3>,<4>,(,<0>,c1ccccc1,),C,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,
O=C(CSc1nncs1)c1c[nH]c2ccccc12,<bos>,c1nncs1,<0>,S,C,C=O,<6>,c1ccc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,<1>,c1cc[nH]c1,<2>,<0>,(,C=O,C,),<1>,(,N,),<4>,(,C,),<3>,(,C,),O=[SH2]=O,N,<0>,C1CCCC1,<eos>,,,,,
COc1ccccc1OCC(=O)Nc1ccc2c(c1)CCC(=O)N2C(C)C,<bos>,C,C,(,C,),<10>,O=C1CCc2ccccc2N1,<6>,N,C=O,C,O,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,
CCOc1cccc2cc(C(=O)N3CCNC(=O)C3)c(=O)oc12,<bos>,C,C,O,<8>,O=c1ccc2ccccc2o1,<2>,C=O,<3>,O=C1CNCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCC(NC(=O)c1csc(-c2ccsc2)n1)C(N)=O,<bos>,C,C,C,(,C=O,N,),N,C=O,<0>,c1cscn1,<3>,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,
COc1ccccc1CC(=O)NCc1nc2cccnc2n1CC(C)C,<bos>,C,C,(,C,),C,<4>,c1cnc2[nH]cnc2c1,<5>,C,N,C=O,C,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,
COc1ccc(C(=O)CCC(=O)OCc2ccccc2)cc1N,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,N,),C=O,C,C,C=O,O,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,
CCCC(O)CSc1nncn1-c1ccccc1,<bos>,C,C,C,C,(,O,),C,S,<0>,c1nnc[nH]1,<4>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
CC(C(=O)NCc1cccc2cccnc12)c1ccsc1,<bos>,C,C,(,<0>,c1ccsc1,),C=O,N,C,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1nc2c3c(C)c(C)n(CC4CCCO4)c3ncn2n1,<bos>,C,<0>,c1nc2c3cc[nH]c3ncn2n1,<6>,<4>,(,C,),<5>,(,C,),C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,
CC(C)n1cnnc1CCNC(=O)c1cccnc1N,<bos>,C,C,(,C,),<4>,c1nnc[nH]1,<0>,C,C,N,C=O,<1>,c1ccncc1,<2>,N,<eos>,,,,,,,,,,,,,,,
O=C(NCc1ccc(-n2cnc3ccccc32)cc1)c1ccco1,<bos>,c1ccoc1,<2>,C=O,N,C,<0>,c1ccccc1,<3>,<4>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cccc(NC(=O)NCCOc2nnc3ccccn23)c1,<bos>,C,C=O,<0>,c1ccccc1,<4>,N,C=O,N,C,C,O,<4>,c1ccn2cnnc2c1,<eos>,,,,,,,,,,,,,,,,,,
C#CCNC(=O)c1cccc(F)c1NCc1ccc(F)cc1,<bos>,F,<3>,c1ccccc1,<0>,C,N,<5>,c1ccccc1,<0>,<4>,(,F,),C=O,N,C,<0>,C#C,<eos>,,,,,,,,,,,,,
O=C(NCCCSc1ccc(F)cc1)c1ccc[nH]1,<bos>,F,<3>,c1ccccc1,<0>,S,C,C,C,N,C=O,<4>,c1cc[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cccc(OCCCNc2c(C)cc(N)cc2C)c1,<bos>,C,<2>,c1ccccc1,<3>,<4>,(,C,),<0>,(,N,),N,C,C,C,O,<4>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,
CN(C(=O)Cc1c[nH]c2ncccc12)C1(C#N)CCC1,<bos>,C#N,<0>,C1CCC1,<0>,N,(,C,),C=O,C,<6>,c1cnc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,,
CSc1ncccc1C(=O)OCc1cccnc1,<bos>,C,S,<2>,c1ccncc1,<1>,C=O,O,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1c(N)cc(OC2CC2)cc1Br,<bos>,C1CC1,<0>,O,<0>,c1ccccc1,<3>,<2>,(,Br,),<4>,(,N,),O,C,<eos>,,,,,,,,,,,,,,,
CCC(=O)Nc1cccc(C(=O)NCc2cscn2)c1,<bos>,C,C,C=O,N,<0>,c1ccccc1,<4>,C=O,N,C,<0>,c1cscn1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccccc1CN1CCOCC1)c1ccncc1F,<bos>,F,<5>,c1ccncc1,<0>,C=O,N,C,<0>,c1ccccc1,<5>,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,
CCN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)c1cc[nH]n1,<bos>,C,C,N,(,C,<3>,O=c1[nH]cnc2ccccc12,),C=O,<1>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,
COCCNC(=O)Nc1nc(-c2ccc(OC)cc2C)cs1,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,(,C,),<0>,c1cscn1,<3>,N,C=O,N,C,C,O,C,<eos>,,,,,,,,,,,,
O=S(=O)(NCCNc1ncnc2[nH]cnc12)c1ccccc1,<bos>,c1ccccc1,<0>,O=[SH2]=O,N,C,C,N,<2>,c1ncc2nc[nH]c2n1,<eos>,,,,,,,,,,,,,,,,,,,,,,
c1ccc(-c2nnc(CCCn3ccnc3)o2)cc1,<bos>,c1ccccc1,<0>,<3>,c1nnco1,<0>,C,C,C,<2>,c1c[nH]cn1,<eos>,,,,,,,,,,,,,,,,,,,,,
COC(=O)C1(NC(=O)CCC(=O)C(C)(C)C)CCCCC1,<bos>,C,C,(,C,),(,C,),C=O,C,C,C=O,N,<0>,C1CCCCC1,<0>,C=O,O,C,<eos>,,,,,,,,,,,,
Cc1c(NC(=O)NC2CCOCC2)ccc2c1OC(C)O2,<bos>,C,<5>,c1ccc2c(c1)OCO2,<0>,<7>,(,C,),N,C=O,N,<0>,C1CCOCC1,<eos>,,,,,,,,,,,,,,,,,,
N#CCc1cccc(C(=O)N2CCCC2CN2CCOCC2)c1,<bos>,C#N,C,<0>,c1ccccc1,<4>,C=O,<3>,C1CCNC1,<4>,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,
CN1CCCN(c2ncnc3c2cnn3-c2ccc(Cl)cc2)CC1,<bos>,C,<5>,C1CNCCNC1,<2>,<2>,c1ncc2cn[nH]c2n1,<6>,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,
COCCNC(=O)c1cnn(Cc2cccc(Br)c2)c1,<bos>,C,O,C,C,N,C=O,<0>,c1cn[nH]c1,<3>,C,<0>,c1ccccc1,<4>,Br,<eos>,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)CSc2ccccn2)c(C)n1Cc1ccco1,<bos>,c1ccoc1,<4>,C,<3>,c1cc[nH]c1,<0>,<2>,(,C,),<4>,(,C,),C=O,C,S,<2>,c1ccncc1,<eos>,,,,,,,,,,,,
O=C(Nc1ccccc1F)N1CCN(C(=O)C2CCC2)CC1,<bos>,F,<5>,c1ccccc1,<0>,N,C=O,<2>,C1CNCCN1,<5>,C=O,<0>,C1CCC1,<eos>,,,,,,,,,,,,,,,,,,,
OCCn1cnnc1CSc1nc(-c2ccccn2)n[nH]1,<bos>,O,C,C,<4>,c1nnc[nH]1,<0>,C,S,<2>,c1nc[nH]n1,<0>,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
CCCCNC(=O)c1cccc(NC(=O)c2ccccc2)c1,<bos>,C,C,C,C,N,C=O,<0>,c1ccccc1,<4>,N,C=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,
CC(O)(CNC(=O)C1(C2CCCO2)CCCCC1)C1CC1,<bos>,C,C,(,O,),(,<0>,C1CC1,),C,N,C=O,<0>,C1CCCCC1,<0>,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,
Cc1[nH]c2ccccc2c1C(=O)COc1ccccc1C(=O)CC#N,<bos>,C,<5>,c1ccc2[nH]ccc2c1,<6>,C=O,C,O,<0>,c1ccccc1,<5>,C=O,C,C#N,<eos>,,,,,,,,,,,,,,,,,,
O=C(CCCNC(=O)C1CC1)NC12CC3CC(CC(C3)C1)C2,<bos>,C1CC1,<0>,C=O,N,C,C,C,C=O,N,<7>,C1C2CC3CC1CC(C2)C3,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccc(S(=O)(=O)NCCCn2ccnc2)cc1C,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),O=[SH2]=O,N,C,C,C,<2>,c1c[nH]cn1,<eos>,,,,,,,,,,,,,,,,
CC(=O)NC1CCN(C(=O)NCC2CC=CCC2)CC1,<bos>,C,C=O,N,<0>,C1CCNCC1,<3>,C=O,N,C,<4>,C1=CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(C#N)cc1,<bos>,C,<1>,c1cn[nH]c1,<0>,<3>,(,C,),<4>,(,C,),N,O=[SH2]=O,<0>,c1ccccc1,<3>,C#N,<eos>,,,,,,,,,,,,,
CN(Cc1cccc(-c2ccccc2)c1)c1ccc2nnnn2n1,<bos>,C,N,(,<1>,c1cnn2nnnc2c1,),C,<0>,c1ccccc1,<4>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
N#CC(NC(=O)CCSc1ccccn1)c1ccncc1,<bos>,C#N,C,(,<0>,c1ccncc1,),N,C=O,C,C,S,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
,<bos>,N,<9>,<0>,<8>,<2>,<6>,<5>,(,O,),<9>,(,O,),<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,
Cc1cc(C2CC(=O)N(Cc3cccnc3)C2)n2ncnc2n1,<bos>,c1ccncc1,<1>,C,<5>,O=C1CCCN1,<3>,<8>,c1cnc2ncnn2c1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1ccc(CC(=O)Nc2cccc(-c3nnco3)c2)cc1OC,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,O,C,),C,C=O,N,<0>,c1ccccc1,<4>,<0>,c1nnco1,<eos>,,,,,,,,,,,,,
O=C(c1cccc(OCC(F)F)n1)N1CCOc2ccccc21,<bos>,F,C,(,F,),C,O,<4>,c1ccncc1,<2>,C=O,<6>,c1ccc2c(c1)NCCO2,<eos>,,,,,,,,,,,,,,,,,,
CCOC(=O)C1(NC(=O)c2cccc(COC)c2)CCCC1,<bos>,C,O,C,<0>,c1ccccc1,<4>,C=O,N,<0>,C1CCCC1,<0>,C=O,O,C,C,<eos>,,,,,,,,,,,,,,,,
CCOC(=O)N1CCN(CC(=O)NC2CCCC(C)C2)CC1,<bos>,C,C,O,C=O,<2>,C1CNCCN1,<5>,C,C=O,N,<0>,C1CCCCC1,<4>,C,<eos>,,,,,,,,,,,,,,,,,
C=CCn1c(SC(C)C(=O)N2CCCC(C)C2)nnc1C1CC1,<bos>,C=C,<0>,C,<4>,c1nnc[nH]1,<0>,<3>,(,<0>,C1CC1,),S,C,(,C,),C=O,<3>,C1CCNCC1,<1>,C,<eos>,,,,,,,,,,
CCCCNC(=O)Nc1cccc(C(=O)NC(C)(C)C)c1,<bos>,C,C,(,C,),(,C,),N,C=O,<4>,c1ccccc1,<0>,N,C=O,N,C,C,C,C,<eos>,,,,,,,,,,,
NS(=O)(=O)Cc1cccc(C(=O)N2C3CCCC2CC3)c1,<bos>,N,O=[SH2]=O,C,<4>,c1ccccc1,<0>,C=O,<7>,C1CC2CCC(C1)N2,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCN(CCO)C(=O)CNC(=O)Nc1cc(C)ccc1F,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,F,),N,C=O,N,C,C=O,N,(,C,C,),C,C,O,<eos>,,,,,,,,,,
O=C(NCC1CCCO1)c1cn(Cc2ccc(OC(F)F)cc2)nn1,<bos>,F,C,(,F,),O,<3>,c1ccccc1,<0>,C,<2>,c1c[nH]nn1,<0>,C=O,N,C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,
O=C(Cn1cc(Br)c(=O)[nH]c1=O)NCCOC1CCCC1,<bos>,Br,<2>,O=c1cc[nH]c(=O)[nH]1,<4>,C,C=O,N,C,C,O,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)NC2CCCc3nc(C)ncc32)cn1,<bos>,C,<4>,c1ccncc1,<1>,C=O,N,<9>,c1ncc2c(n1)CCCC2,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CNC(=O)NCC(=O)NCc1cccc(CN2CCOCC2)c1,<bos>,C,N,C=O,N,C,C=O,N,C,<0>,c1ccccc1,<4>,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,
Cc1cccc(C2NCCc3c(N)cc(Cl)cc32)n1,<bos>,Cl,<1>,c1ccc2c(c1)CCNC2,<9>,<5>,(,N,),<2>,c1ccncc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,
CC1CCN(C(=O)c2cccc(C(=O)N(C)C)c2)c2ccccc21,<bos>,C,N,(,C,),C=O,<4>,c1ccccc1,<0>,C=O,<9>,c1ccc2c(c1)CCCN2,<6>,C,<eos>,,,,,,,,,,,,,,,,,
Nc1ccc(Cl)c(S(=O)(=O)N2CCC3(CC2)OCCCO3)c1,<bos>,N,<0>,c1ccccc1,<4>,<3>,(,Cl,),O=[SH2]=O,<6>,C1COC2(CCNCC2)OC1,<eos>,,,,,,,,,,,,,,,,,,,,
C=CCCCN(C)C(=O)CSc1nc(C(C)C)no1,<bos>,C,C,(,C,),<0>,c1ncon1,<2>,S,C,C=O,N,(,C,),C,C,C,<0>,C=C,<eos>,,,,,,,,,,,
CC(=O)Nc1nc(CSc2ncnc3ccccc23)cs1,<bos>,C,C=O,N,<3>,c1cscn1,<0>,C,S,<7>,c1ccc2ncncc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cn1cc(C(=O)N=c2[nH]ccn2Cc2ccccc2Cl)ccc1=O,<bos>,C,<6>,O=c1cccc[nH]1,<4>,C=O,<0>,N=c1[nH]cc[nH]1,<5>,C,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,
COCCSc1nnc(N)n1CCc1ccc(OC(C)C)cc1,<bos>,C,C,(,C,),O,<3>,c1ccccc1,<0>,C,C,<4>,c1nnc[nH]1,<0>,<3>,(,N,),S,C,C,O,C,<eos>,,,,,,,,
COc1cccc(C(=O)NCc2ccc(NC(N)=O)cc2)c1F,<bos>,C,O,<0>,c1ccccc1,<4>,<5>,(,F,),C=O,N,C,<0>,c1ccccc1,<3>,N,C=O,N,<eos>,,,,,,,,,,,,,
CCc1cccc(NC(=O)C(C)Oc2ccc(N(C)C(C)=O)cc2)c1,<bos>,C,C=O,N,(,C,),<3>,c1ccccc1,<0>,O,C,(,C,),C=O,N,<4>,c1ccccc1,<0>,C,C,<eos>,,,,,,,,,,
CNC(=O)CNC(=O)CCCSc1ccccc1Cl,<bos>,C,N,C=O,C,N,C=O,C,C,C,S,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,
COc1cccc(-c2ncccc2COC2CC2)c1OC,<bos>,C,O,<0>,c1ccccc1,<4>,<5>,(,O,C,),<2>,c1ccncc1,<1>,C,O,<0>,C1CC1,<eos>,,,,,,,,,,,,,,
Cc1cc(NC(=O)Nc2ccc3nc(C)sc3c2)no1,<bos>,C,<4>,c1cnoc1,<1>,N,C=O,N,<1>,c1ccc2scnc2c1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCCN1CC(NC(=O)NCc2nn(C)c(C)c2O)CC1=O,<bos>,C,<3>,c1cn[nH]c1,<1>,<4>,(,C,),<0>,(,O,),C,N,C=O,N,<3>,O=C1CCCN1,<5>,C,C,C,<eos>,,,,,,,,,
CC1CCOC1C(=O)NCc1ccc2c(c1)CCCN2C(=O)CO,<bos>,C,<0>,C1CCOC1,<4>,C=O,N,C,<0>,c1ccc2c(c1)CCCN2,<9>,C=O,C,O,<eos>,,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)c2ccc(-c3nc(C)cs3)cc2)cn1,<bos>,C,O,<4>,c1ccncc1,<1>,N,C=O,<0>,c1ccccc1,<3>,<3>,c1cscn1,<0>,C,<eos>,,,,,,,,,,,,,,,,,
CCc1ccccc1NC1(C#N)CCOCC1,<bos>,C,C,<0>,c1ccccc1,<5>,N,<0>,C1CCOCC1,<0>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1c(C)cnc(CNC(=O)C(CC(C)C)NC(C)=O)c1C,<bos>,C,O,<0>,c1ccncc1,<4>,<1>,(,C,),<5>,(,C,),C,N,C=O,C,(,C,C,(,C,),C,),N,C=O,C,<eos>,,,
CN(CCCn1ccc(-c2cccs2)n1)CC1CCC(=O)N1,<bos>,O=C1CCCN1,<4>,C,N,(,C,),C,C,C,<3>,c1cn[nH]c1,<1>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,
Cc1ccc(-c2cn(CC3CCCCO3)nn2)o1,<bos>,C,<4>,c1ccoc1,<2>,<0>,c1c[nH]nn1,<2>,C,<2>,C1CCOCC1,<eos>,,,,,,,,,,,,,,,,,,,,,
,<bos>,N,<2>,c1ccncc1,<4>,<1>,(,C#N,),<5>,(,C#N,),S,<2>,O=C1CCCO1,<4>,<0>,(,O,),C,<eos>,,,,,,,,,,
O=C(Nc1ccc(F)cc1)C1(c2ccc(F)cc2)CCOCC1,<bos>,F,<3>,c1ccccc1,<0>,N,C=O,<0>,C1CCOCC1,<0>,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
CS(=O)(=O)NC1CCN(C(=O)Nc2cccs2)CC1,<bos>,C,O=[SH2]=O,N,<0>,C1CCNCC1,<3>,C=O,N,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COC(=O)Nc1ccc(C(=O)N2CCOC(C)C2)cc1,<bos>,C,<1>,C1COCCN1,<5>,C=O,<3>,c1ccccc1,<0>,N,C=O,O,C,<eos>,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,<4>,O=c1[nH]ncn2c1cc1occc12,<2>,<2>,(,C,),C=O,N,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,
CNc1ccc(NC(=O)c2nccc3ccccc23)cc1F,<bos>,C,N,<3>,c1ccccc1,<0>,<4>,(,F,),N,C=O,<4>,c1ccc2cnccc2c1,<eos>,,,,,,,,,,,,,,,,,,
CCOC(=O)C1=C(C)OC(C)=C(C(N)=O)C1c1ccncc1,<bos>,N,C=O,<4>,C1=COC=CC1,<0>,<1>,(,C,),<3>,(,C,),<5>,(,<0>,c1ccncc1,),C=O,O,C,C,<eos>,,,,,,,,,
Cc1nn(C)c(C)c1CNS(=O)(=O)c1ccc2ccccc2c1,<bos>,C,<1>,c1cn[nH]c1,<0>,<3>,(,C,),<4>,(,C,),C,N,O=[SH2]=O,<0>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,
O=C(c1cc(Cl)ccc1-n1cnnn1)N1CCCC1,<bos>,Cl,<0>,c1ccccc1,<4>,<3>,(,<4>,c1nnn[nH]1,),C=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccccc1-c1cc(C(=O)Nc2ccc3c(c2)COC3)on1,<bos>,C,O,<0>,c1ccccc1,<5>,<1>,c1cnoc1,<4>,C=O,N,<0>,c1ccc2c(c1)COC2,<eos>,,,,,,,,,,,,,,,,,,,
CC(C)N(CCCO)C(=O)C1CNCCN1Cc1cccs1,<bos>,c1ccsc1,<4>,C,<5>,C1CNCCN1,<0>,C=O,N,(,C,(,C,),C,),C,C,C,O,<eos>,,,,,,,,,,,,
COc1cccc(-n2ccnc2SCC(=O)N2CCCC2)c1OC,<bos>,C,O,<0>,c1ccccc1,<4>,<5>,(,O,C,),<2>,c1c[nH]cn1,<3>,S,C,C=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,
COc1cc2nc(OC)n(OC)c(=O)c2cc1OC,<bos>,C,O,<7>,O=c1[nH]cnc2ccccc12,<8>,<2>,(,O,C,),<3>,(,O,C,),O,C,<eos>,,,,,,,,,,,,,,
CCc1nc(C)c(C(=O)N2CCN(C(=O)c3cccc(C)c3)CC2)o1,<bos>,C,C,<3>,c1cocn1,<1>,<0>,(,C,),C=O,<2>,C1CNCCN1,<5>,C=O,<0>,c1ccccc1,<4>,C,<eos>,,,,,,,,,,,,,
CCN(Cc1nc2ccc(F)cc2[nH]1)c1c[nH]c2ccccc2c1=O,<bos>,C,C,N,(,<2>,O=c1cc[nH]c2ccccc12,),C,<5>,c1ccc2[nH]cnc2c1,<1>,F,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccc(Cl)c(NC(=O)C(C)Cn2cncn2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,Cl,),N,C=O,C,(,C,),C,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,
CC(=O)NCCOC(=O)c1ccn(-c2cc3ccccc3o2)n1,<bos>,C,C=O,N,C,C,O,C=O,<1>,c1cn[nH]c1,<3>,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,,
