smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O=c1c2c(n(Cc3ccc(Cl)cc3)c(=O)n1C[C@H](O)COc1cccc3cnccc13)CCN(Cc1cccnc1)C2,<bos>,c1ccc2cnccc2c1,<9>,O,C,C|S,(,O,),C,<7>,O=c1[nH]c2c(c(=O)[nH]1)CNCC2,<9>,<2>,(,C,<0>,c1ccccc1,<3>,Cl,),C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,
CNC(=O)c1sc2ncnc(N3CCC(OCc4ccc(F)cc4)CC3)c2c1C1CCCCC1,<bos>,F,<3>,c1ccccc1,<0>,C,O,<0>,C1CCNCC1,<3>,<2>,c1ncc2ccsc2n1,<5>,<4>,(,<0>,C1CCCCC1,),C=O,N,C,<eos>,,,,,,,,,,,,,,,,,,,
NCCc1cc(C(=O)N2CCCN(C3CC3)CC2)cc(-c2ccc(CN3CCOCC3)[nH]2)c1,<bos>,C1CC1,<0>,<5>,C1CNCCNC1,<2>,C=O,<4>,c1ccccc1,<0>,<2>,(,C,C,N,),<4>,c1cc[nH]c1,<2>,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,
COc1ccc2c3c1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4CNC4CCCCC4)[C@@H](C2)N(C)CC[C@]315,<bos>,C,O,<8S>,c1cc2c3c(c1)OC1C4CCC5(CC4)C(C2)NCCC315|7R11S14R19S,<13R>,<16>,(,C,),<5>,(,O,C,),C,N,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cn1nc2c(c1-c1ccccc1Cl)-c1nc(Nc3cccc(Cl)c3)ncc1CC2,<bos>,Cl,<5>,c1ccccc1,<0>,<7>,c1ncc2c(n1)-c1c[nH]nc1CC2,<8>,<0>,(,N,<0>,c1ccccc1,<4>,Cl,),C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)C1CCN(S(=O)(=O)c2cccc(C(O)(c3ccccc3)C(F)(F)c3cccc4ncccc34)c2)CC1,<bos>,c1ccc2ncccc2c1,<9>,C,(,F,),(,F,),C,(,<0>,c1ccccc1,),(,O,),<4>,c1ccccc1,<0>,O=[SH2]=O,<3>,C1CCNCC1,<0>,N,(,C,C,),C,C,<eos>,,,,,,,,
Cc1nc2sc(C)c(C)c2c(=O)o1,<bos>,C,<8>,O=c1ocnc2sccc12,<7>,<3>,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1c(-c2ccc(-c3ccco3)cc2)nc(C(=O)NCC2CCN(C(=N)N)CC2)c1-c1ccc(Cl)cc1,<bos>,c1ccoc1,<4>,<3>,c1ccccc1,<0>,<3>,c1c[nH]cn1,<0>,<1>,(,<0>,c1ccccc1,<3>,Cl,),<2>,(,C,),C=O,N,C,<0>,C1CCNCC1,<3>,<0>,C=N,<0>,N,<eos>,,,,,,,,,,
Nc1nc(N2CCN(c3cncc(Cl)c3)CC2)nc2nc(-c3ccccc3Cl)ccc12,<bos>,N,<7>,c1cnc2ncncc2c1,<5>,<1>,(,<0>,c1ccccc1,<5>,Cl,),<5>,C1CNCCN1,<2>,<1>,c1ccncc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,
NC1=N[C@]2([C@@H](CN3CCCC3)c3cc(F)c[nH]c3=O)CO[C@@H](c3ccc(F)cc3)C[C@H]2CS1,<bos>,N,<0>,C1=NC2COCCC2CS1|7R,<2S>,<5R>,(,<0>,c1ccccc1,<3>,F,),C|R,(,<2>,O=c1cccc[nH]1,<4>,F,),C,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,
CCCCC(=O)NCCCO[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@H](c4ccoc4)C[C@]3(C)[C@H]2C1=O,<bos>,C,C,C,C,C=O,N,C,C,C,O,<12S>,O=C1OCCC2C1CCC1CCCC(=O)C12|6R15S,<10R>,<5R>,(,C,),<9R>,(,C,),<3S>,(,<0>,c1ccoc1,),C=O,O,C,<eos>,,,,,,,,,,
COc1cc(OC(C)C)ccc1-c1nc2snc(C3CCCCC3)c2c(=O)[nH]1,<bos>,C1CCCCC1,<0>,<8>,O=c1[nH]cnc2sncc12,<3>,<3>,c1ccccc1,<4>,<0>,(,O,C,(,C,),C,),O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCCCC[C@]1(CC)CS(=O)(=O)c2cc(CN(C)C)c(OC)cc2[C@@H](c2ccccc2)N1,<bos>,C,C,C,C,C,<4R>,O=S1(=O)CCNCc2ccccc21,<10>,<4R>,(,C,C,),<9>,(,O,C,),<6R>,(,<0>,c1ccccc1,),C,N,(,C,),C,<eos>,,,,,,,,,,
O=C1CCc2ccc(Cl)cc2N1CCC1CCN(Cc2ccccc2)CC1,<bos>,Cl,<7>,O=C1CCc2ccccc2N1,<10>,C,C,<0>,C1CCNCC1,<3>,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCc1nc(-c2nnc(C)n2-c2ccccc2)cn1-c1ccc(S(C)(=O)=O)cc1,<bos>,C,O=[SH2]=O,<3>,c1ccccc1,<0>,<2>,c1c[nH]cn1,<3>,<0>,(,<3>,c1nnc[nH]1,<0>,<4>,(,<0>,c1ccccc1,),C,),C,C,C,<eos>,,,,,,,,,,,,,,,,
CNC(=O)c1ccc(NC(=O)N2N=C(c3ccc(Oc4cccc(Cl)c4)cc3)CC2C)cc1,<bos>,C,N,C=O,<0>,c1ccccc1,<3>,N,C=O,<2>,C1=NNCC1,<3>,<0>,(,<0>,c1ccccc1,<3>,O,<0>,c1ccccc1,<4>,Cl,),C,<eos>,,,,,,,,,,,,,,,,
Cc1ccc2c(c1)CCC(N1CCN(C(=O)Nc3ccc(F)cc3)CC1)N2Cc1ccncc1,<bos>,F,<3>,c1ccccc1,<0>,N,C=O,<2>,C1CNCCN1,<5>,<8>,c1ccc2c(c1)CCCN2,<0>,<9>,(,C,<0>,c1ccncc1,),C,<eos>,,,,,,,,,,,,,,,,,,,,
CC(C)(C)[C@H](NC(=O)c1ccc2c(c1)O[C@H](CN1CCOCC1)CO2)c1ccccc1,<bos>,C1COCCN1,<5>,C,<7R>,c1ccc2c(c1)OCCO2,<0>,C=O,N,C|S,(,C,(,C,),(,C,),C,),<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,
CC1CN(CCNc2nc(N)nc(-c3cn[nH]c3)n2)c2c(Cl)cccc21,<bos>,Cl,<2>,c1ccc2c(c1)CCN2,<8>,<6>,(,C,),C,C,N,<0>,c1ncncn1,<4>,<2>,(,N,),<0>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(O)Cc1c(C(=O)Nc2cccc(-c3ccc(Br)nc3)c2)cnn1-c1ccccc1,<bos>,Br,<4>,c1ccncc1,<1>,<4>,c1ccccc1,<0>,N,C=O,<0>,c1cn[nH]c1,<4>,<3>,(,<0>,c1ccccc1,),C,C=O,O,<eos>,,,,,,,,,,,,,,,,,,,
Nc1ccc(-c2cc3nccc(N4CC[C@H](c5c(F)cccc5Cl)[C@@H](O)C4)c3s2)cn1,<bos>,N,<4>,c1ccncc1,<1>,<5>,c1cnc2ccsc2c1,<8>,<3>,C1CCNCC1,<0R>,<1R>,(,O,),<5>,c1ccccc1,<4>,<0>,(,F,),Cl,<eos>,,,,,,,,,,,,,,,,,
Cc1c(C(=O)NCc2ccc(OC(F)(F)F)cc2)nc(-c2ccc(Cl)cc2Cl)n1C,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,C,N,C=O,<0>,c1c[nH]cn1,<3>,<2>,(,C,),<1>,(,C,),<3>,c1ccccc1,<4>,<0>,(,Cl,),Cl,<eos>,,,,,
CCN(CCN(C)C)C(=O)Nc1ccccc1,<bos>,C,N,(,C,),C,C,N,(,C,C,),C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCc1nn(C)c2c(=O)[nH]c(-c3ccc(OC4CCN(c5nc(C)cc(C)n5)CC4)cc3OC)nc12,<bos>,C,<5>,c1cncnc1,<3>,<1>,(,C,),<3>,C1CCNCC1,<0>,O,<0>,c1ccccc1,<3>,<4>,(,O,C,),<3>,O=c1[nH]cnc2cn[nH]c12,<6>,<8>,(,C,),C,C,C,<eos>,,,,,,,,,
Fc1ccc2c(n1)CCN(c1ccc(Nc3ncc4c5ccncc5n(C5CCCCC5)c4n3)nc1)C2,<bos>,C1CCCCC1,<0>,<6>,c1cc2c(cn1)[nH]c1ncncc12,<9>,N,<4>,c1ccncc1,<1>,<7>,c1cnc2c(c1)CNCC2,<1>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(Cc2ccc(-c3ccc4c(c3NC(=O)CCCc3ccccc3)OCO4)cc2)c(C)c1CC(=O)O,<bos>,O,C=O,C,<0>,c1cn[nH]c1,<3>,<1>,(,C,),<4>,(,C,),C,<0>,c1ccccc1,<3>,<0>,c1ccc2c(c1)OCO2,<5>,N,C=O,C,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,
COc1cncc(N2CN(c3ccccc3C#N)C3(CCN(CCN(C)c4ccc(Cl)c(Cl)c4)CC3)C2=O)c1,<bos>,Cl,<4>,c1ccccc1,<0>,<3>,(,Cl,),N,(,C,),C,C,<8>,O=C1NCNC12CCNCC2,<2>,<4>,(,<0>,c1ccccc1,<5>,C#N,),<1>,c1ccncc1,<5>,O,C,<eos>,,,,,,,,,,
Nc1cc2ccc(-c3ccc(Cl)c(Cl)c3)nc2cn1,<bos>,N,<6>,c1cnc2cnccc2c1,<1>,<0>,c1ccccc1,<4>,<3>,(,Cl,),Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1CCN(c2ccc3ncn(-c4cc(N5CCC[C@H]5C(N)=O)ccn4)c(=O)c3c2)CC1,<bos>,C,<5>,C1CNCCN1,<2>,<8>,O=c1[nH]cnc2ccccc12,<2>,<4>,c1ccncc1,<0>,<3>,C1CCNC1,<4S>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CNC1CCOCC1)N1C[C@@H](F)C[C@H]1c1cc2ccncc2o1,<bos>,F,<0S>,C1CCNC1,<2S>,<3>,(,C=O,C,N,<0>,C1CCOCC1,),<4>,c1cc2ccoc2cn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CN(CCn1cnc2c(-c3ccccc3)nc3c(N)cccc3c21)CC(N)=O,<bos>,N,<5>,c1ccc2c(c1)ncc1nc[nH]c12,<11>,<7>,(,<0>,c1ccccc1,),C,C,N,(,C,),C,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cccnc1N=Nc1ccccc1OCCCN1CCCCC1,<bos>,C1CCNCC1,<3>,C,C,C,O,<5>,c1ccccc1,<0>,<1>,N=N,<0>,<2>,c1ccncc1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
NCc1cc(C(F)(F)F)ccc1-c1ccccc1S(=O)(=O)NC1CCC(N)CC1,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,C,N,),<5>,c1ccccc1,<0>,O=[SH2]=O,N,<0>,C1CCCCC1,<3>,N,<eos>,,,,,,,,,,,,,,
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(NC(=O)Nc4ccc(F)c(F)c4)cc2)CC3)cc1,<bos>,N,C=O,<6>,O=C1NCCc2cn[nH]c21,<2>,<8>,(,<3>,c1ccccc1,<0>,O,C,),<0>,c1ccccc1,<3>,N,C=O,N,<0>,c1ccccc1,<4>,<3>,(,F,),F,<eos>,,,,,,,,,,,,
Nc1nccn2c(C3CCN(C(=O)n4ccc5ccccc54)CC3)nc(-c3ccc(S(N)(=O)=O)cc3)c12,<bos>,N,O=[SH2]=O,<3>,c1ccccc1,<0>,<5>,c1cn2cncc2cn1,<3>,<7>,(,N,),<0>,C1CCNCC1,<3>,C=O,<4>,c1ccc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,
C#CCN(c1cccc(C(=N)N)c1)[C@@H](CCSC1CCCC1)C(=O)O,<bos>,O,C=O,C|S,(,C,C,S,<0>,C1CCCC1,),N,(,C,<0>,C#C,),<0>,c1ccccc1,<4>,<0>,C=N,<0>,N,<eos>,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](CCCC(N)=O)C(=O)O)cc1,<bos>,N,C=O,C,C,C,C|S,(,N,(,C,<0>,c1ccc2c(c1)OCO2,),O=[SH2]=O,<3>,c1ccccc1,<0>,O,C,),C=O,O,<eos>,,,,,,,,,,,,,,,,,
Cc1nc(-c2ccc(Nc3ccn(CCOCC4CCNCC4)n3)cc2)cc2ncn(C)c(=O)c12,<bos>,C,<2>,O=c1[nH]cnc2ccncc12,<9>,<7>,(,<0>,c1ccccc1,<3>,N,<1>,c1cn[nH]c1,<3>,C,C,O,C,<0>,C1CCNCC1,),C,<eos>,,,,,,,,,,,,,,,,,,
Cc1nc2c[n+]([O-])ccc2n1CC[C@H](C(=O)NO)N(C)S(=O)(=O)c1ccc2ccccc2c1,<bos>,C,<6>,[O-][n+]1ccc2[nH]cnc2c1,<5>,C,C,C|R,(,C=O,N,O,),N,(,C,),O=[SH2]=O,<0>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,
CN(Cc1ccccc1C(F)(F)F)Cc1ccccc1S(N)(=O)=O,<bos>,C,N,(,C,<5>,c1ccccc1,<0>,O=[SH2]=O,N,),C,<5>,c1ccccc1,<0>,C,(,F,),(,F,),F,<eos>,,,,,,,,,,,,,,,,,
FC(F)(F)c1c(Cl)ccnc1N1CCNCC1,<bos>,F,C,(,F,),(,F,),<5>,c1ccncc1,<0>,<4>,(,<2>,C1CNCCN1,),Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,
N#CCc1nc2cc(O)cc(F)c2nc1O,<bos>,F,<2>,c1ccc2nccnc2c1,<6>,<5>,(,O,),<0>,(,O,),C,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)c1ccc(Oc2ccccc2F)c(Nc2nc3ccnn3cc2NC(=O)C2CCCCC2)c1,<bos>,O,C=O,<0>,c1ccccc1,<3>,<4>,(,N,<1>,c1cnc2ccnn2c1,<0>,N,C=O,<0>,C1CCCCC1,),O,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,
CCc1ncc(C)n2nc(C)nc12,<bos>,C,<1>,c1cn2ncnc2cn1,<7>,<4>,(,C,),C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C)S(=O)(=O)c1ccc(-c2cc(C)on2)cc1,<bos>,C,N,(,O=[SH2]=O,<0>,c1ccccc1,<3>,<1>,c1cnoc1,<4>,C,),C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)C(=O)n1ncc(Oc2ccccc2-c2cccc(Cl)n2)c1-c1cccc(NC(=N)N)c1,<bos>,Cl,<4>,c1ccncc1,<2>,<5>,c1ccccc1,<0>,O,<0>,c1cn[nH]c1,<3>,<4>,(,<0>,c1ccccc1,<4>,N,<0>,C=N,<0>,N,),C=O,N,(,C,),C,<eos>,,,,,,,,,,,
Nc1ccc(CC2CCN(CCC(O)c3ccccc3)CC2)cc1Cl,<bos>,c1ccccc1,<0>,C,(,O,),C,C,<3>,C1CCNCC1,<0>,C,<0>,c1ccccc1,<4>,<3>,(,N,),Cl,<eos>,,,,,,,,,,,,,,,,,,,
O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN(C2CCC(CNC(=O)c3ccc(Cl)s3)CC2)C1,<bos>,F,C,(,F,),(,F,),<0>,c1ccc2ncncc2c1,<7>,N,C,C=O,N,<0>,C1CNC1,<2>,<0>,C1CCCCC1,<3>,C,N,C=O,<4>,c1ccsc1,<2>,Cl,<eos>,,,,,,,,,,,
CNC[C@@H](C)NS(=O)(=O)c1ccc(NC(=O)c2ccc(C)nc2)c(F)c1,<bos>,C,N,C,C|R,(,C,),N,O=[SH2]=O,<0>,c1ccccc1,<3>,<4>,(,F,),N,C=O,<1>,c1ccncc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,
Cc1nsc(-n2cc(CC(=O)Nc3ccc(O)c(C(F)(F)F)c3)c3ccccc32)n1,<bos>,C,<0>,c1ncsn1,<2>,<4>,c1ccc2[nH]ccc2c1,<6>,C,C=O,N,<0>,c1ccccc1,<4>,<3>,(,O,),C,(,F,),(,F,),F,<eos>,,,,,,,,,,,,,,
COc1cc([C@@H](O)CNCCCC(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,<bos>,c1ccccc1,<0>,C,(,<0>,c1ccccc1,),(,<0>,c1ccccc1,),C,C,C,N,C,C|R,(,O,),<0>,c1ccccc1,<3>,<4>,(,O,C,),O,<eos>,,,,,,,,,,
O=C(NC[C@H]1CC[C@@H](c2ccc([N+](=O)[O-])cc2)C[C@H]1C=NO)c1ccccc1,<bos>,c1ccccc1,<0>,C=O,N,C,<4S>,C1CCCCC1,<1R>,<3R>,(,<0>,C=N,<1>,O,),<0>,c1ccccc1,<3>,O=[NH+][O-],<eos>,,,,,,,,,,,,,,,,,,,,
N#Cc1nc2ccccc2n1CCC1CCC(NC(=O)c2ccc(Cl)s2)CC1,<bos>,Cl,<2>,c1ccsc1,<4>,C=O,N,<0>,C1CCCCC1,<3>,C,C,<4>,c1ccc2[nH]cnc2c1,<5>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(C2(O)CCOCC2)ccc2c3c(nn12)CCC(C)(C)C3,<bos>,C,<10>,c1ccn2nc3c(c2c1)CCCC3,<1>,<2>,(,C,),<10>,(,C,),<0>,C1CCOCC1,<0>,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,
N=C(N)c1ccc(CC(=O)NCc2cccc(C(=O)Nc3cc(S(N)(=O)=O)ccc3-c3cccs3)c2)cc1,<bos>,N,O=[SH2]=O,<0>,c1ccccc1,<4>,<3>,(,<4>,c1ccsc1,),N,C=O,<0>,c1ccccc1,<4>,C,N,C=O,C,<0>,c1ccccc1,<3>,<0>,C=N,<0>,N,<eos>,,,,,,,,,,,,,
COc1ccc2nc(C)c3nnc(-c4ccc(S(C)(=O)=O)c(F)c4)n3c2c1,<bos>,C,O=[SH2]=O,<3>,c1ccccc1,<0>,<4>,(,F,),<11>,c1ccc2c(c1)ncc1nncn12,<1>,<7>,(,C,),O,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CN(C)c1cncc(Oc2cccc(Cl)c2)c1,<bos>,C,N,(,<5>,c1ccncc1,<1>,O,<0>,c1ccccc1,<4>,Cl,),C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C#CC1=N[C@@]2(N=C1)c1cc(-c3ccc(C#N)c(Cl)c3)ccc1CC21CCC(N)CC1,<bos>,C#N,<3>,c1ccccc1,<0>,<4>,(,Cl,),<7>,C1=NC2(N=C1)c1ccccc1CC21CCCCC1|2R,<0>,<15>,(,N,),<0>,C#C,<1>,C,(,C,),O,<eos>,,,,,,,,,,,,,,,,
CNc1nc(-c2ccc(NC[C@H](C)O)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12,<bos>,O,C|S,(,C,),C,N,<3>,c1ccccc1,<0>,<4>,(,O=[SH2]=O,C,),<7>,O=c1[nH]cnc2ccncc12,<9>,<2>,(,C,),N,C,<eos>,,,,,,,,,,,,,,,
Fc1cnc2ccc(-c3ccc4nnc(-c5[nH]nc6cc(C(F)(F)F)ccc56)n4c3)nc2c1F,<bos>,F,C,(,F,),(,F,),<1>,c1ccc2n[nH]cc2c1,<6>,<4>,c1ccn2cnnc2c1,<1>,<1>,c1cnc2cccnc2c1,<4>,<5>,(,F,),F,<eos>,,,,,,,,,,,,,,,,,
C[C@H]1CC[C@H](O)N1CC=C1c2ccccc2COc2c(CO)cccc21,<bos>,C,<4S>,C1CCNC1,<2S>,<3>,(,C,<0>,C=C1c2ccccc2COc2ccccc21,<11>,C,O,),O,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)c1ccc(-c2[nH]c(-c3cccs3)nc2-c2ccncc2)cc1,<bos>,c1ccsc1,<4>,<3>,c1c[nH]cn1,<1>,<0>,(,<0>,c1ccncc1,),<0>,c1ccccc1,<3>,C,(,F,),(,F,),F,<eos>,,,,,,,,,,,,,,,,,,
COc1ccc(-c2cc3c(C)nc(Nc4cccc5c(F)ccnc45)nc3[nH]c2=O)c(OC)c1,<bos>,C,O,<4>,c1ccccc1,<3>,<0>,(,O,C,),<2>,O=c1ccc2cncnc2[nH]1,<7>,<5>,(,C,),N,<2>,c1ccc2ncccc2c1,<7>,F,<eos>,,,,,,,,,,,,,,,,,
Cn1nc(C(=O)NC2CC(Cl)C2)cc1-c1ccc(Cl)cc1Cl,<bos>,C,<3>,c1cn[nH]c1,<4>,<1>,(,C=O,N,<0>,C1CCC1,<2>,Cl,),<3>,c1ccccc1,<4>,<0>,(,Cl,),Cl,<eos>,,,,,,,,,,,,,,,,,,
O=C(O)C(CCc1ccc(-c2ccc(Br)cc2)cc1)SP(=O)(O)O,<bos>,O,O=[PH3],(,O,),S,C,(,C=O,O,),C,C,<0>,c1ccccc1,<3>,<0>,c1ccccc1,<3>,Br,<eos>,,,,,,,,,,,,,,,,,,,
O=C(C(c1ccccc1)c1ccccc1)N1CCC(CCN2CCC(c3noc4cc(F)ccc34)CC2)CC1,<bos>,c1ccccc1,<0>,C,(,<0>,c1ccccc1,),C=O,<3>,C1CCNCC1,<0>,C,C,<3>,C1CCNCC1,<0>,<6>,c1ccc2oncc2c1,<1>,F,<eos>,,,,,,,,,,,,,,,,,,,
CCCON=C(C)c1ccc(OCc2c[nH]cn2)cc1,<bos>,C,<0>,C=N,<1>,<0>,(,<0>,c1ccccc1,<3>,O,C,<0>,c1c[nH]cn1,),O,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCCCN(CCc1ccccc1)C1=CC(=O)C([N+](=O)[O-])=CC1=O,<bos>,O=[NH+][O-],<7>,O=C1C=CC(=O)C=C1,<3>,N,(,C,C,<0>,c1ccccc1,),C,C,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cn1cc(C2NC(=O)NC2=O)c2cc(Cl)ccc21,<bos>,C,<4>,c1ccc2[nH]ccc2c1,<0>,<6>,(,<2>,O=C1CNC(=O)N1,),Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCn1c(=O)c2c(nc(OC3CCCC3)n2C)n(C)c1=O,<bos>,C=C,<0>,C,<2>,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,<7>,<10>,(,C,),<6>,(,C,),O,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
[C-]#[N+]c1ccc(F)cc1-c1ccc2c(N3CCCN(C)CC3)nncc2c1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,<0>,c1ccc2cnncc2c1,<4>,<5>,C1CNCCNC1,<2>,C,),[C-]#[NH+],<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)C1CCC(c2nc(-c3cnnc4cc(Cl)c(N5CCOCC5)cc34)c3cnccn23)CC1,<bos>,C,N,(,<0>,C1CCCCC1,<3>,<3>,c1cn2cncc2cn1,<5>,<7>,c1ccc2nnccc2c1,<0>,<1>,(,Cl,),<5>,C1COCCN1,),C,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccc(C)cc1-c1nc2c(=O)n(C)c(=O)n(Cc3ccccc3)c2[nH]1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,C,),<7>,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,<10>,<2>,(,C,),C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,
